COMMAND,EXPLANATION,BIKOU ^
スィッチ/パラメーター,引用HTTP://FORUM.NIFTY.COM/FPCU/DOSVCMD/ATTRIB.HTM#PARAM6+R、-R読み取り専用(READONLY)属性を変更します。(+Rで設定、-Rで解除)※読み取り専用属性をオンにしたファイルは、通常のアプリケーションによる書き換えや削除ができなくなります。変更、削除したくないファイルに対して指定することで、そのファイルを保護することができます。ただし複写(COPY)は可能で、複写先のファイルは初期状態では読み取り専用属性はオフです。 +A、-A保存(ARCHIVE)属性を変更します。(+Aで設定、-Aで解除)ACKUP、XCOPYなどで他のディスクやディレクトリにバックアップずみのファイルは、この属性がオフになります。一度もバックアップされていないか、バックアップ後に内容が変更された（たとえばエディタ等で書き換えられた）ファイルは、自動的に保存属性がオンになります。BACKUP、XCOPYなどはこれを利用して、バックアップされていないファイルだけを複写する機能を持っています。 +S、-Sシステムファイル(SYSTEM)属性を変更します。(+Sで設定、-Sで解除)※システムの起動や運用に必須の重要なファイルを保護するために使われる属性です。この属性が設定されたファイルは読み取り専性を持ったファイルと同様、書き換えや削除ができなくなります。 +H、-H 隠し(HIDDEN)属性を変更します。(+Hで設定、-Hで解除)します※この属性が設定されたファイルは書き換え、削除ができなくなるほか、通常のDIR コマンドなどでは表示されなくなります。 [ドライブ:][パス]ファイル名変更、または現在の属性を表示するファイルの名前を指定します。※ワイルドカードも使用可能です。　+R、+A、+S、+H、-R、-A、-S、-Hのいずれも指定しなかった場合には、該当するファイルの現在の属性を表示します。 /S 現行ディレクトリー以下のサブディレクトリ内のファイルも処理の対象にします。 , ^
COMMAND.COM,WIN98DOSの起動。, ^
CMD,コマンドプロンプトの起動。プロンプトの中でCMDコマンドを実行すると再帰的にコマンドプロンプトが実行される。プロンプトには実行ファイル名を指定するので（？）、スクリプトからコマンドプロンプトのコマンドを実行させる場合には、"CMD /C DIR /S " & "D:\*.*" という文字列をWSHSHELLオブジェクトのEXECメソッドに渡さないと「ファイルが見つかりません」というエラーになる。, ^
TELNET ホスト名　ポート番号,テルネットの起動；接続の終了は：QUITE, ^
IPCONFIG/ALL,詳細なアドレス情報, ^
DIR /X,NTFSのOSに対してのみ、8.3形式のファイル名の表示, ^
ROUTE PRINT,ネットワーク障害解決の一助になるらしい。見方は不明, ^
NETSTAT -A,自機がコネクションを持っている相手の表示。見方は不明, ^
IPCONFIG -ALL,XP/2000/NT4.0, ^
IPCONFIG -ALL | MORE MOREに続けてSPACEキー,NT4.0, ^
SFC [/SCANNOW] [/SCANONCE] [/SCANBOOT] [/REVERT] [/PURGECACHE] [/CACHESIZE=X] [/QUIET],保護されたシステム ファイルをスキャンし、間違ったバージョンを正しい MICROSOFT のバージョンで置き換えます。, ^
SFC /SCANNOW,すべての保護されたシステム ファイルを今すぐ実行します。, ^
SFC /SCANONCE,すべての保護されたシステム ファイルのスキャンを次回の起動時に一度に実行します。, ^
SFC /SCANBOOT,毎回のブート時にすべての保護されたシステム ファイルのスキャンを実行します。, ^
SFC /REVERT,スキャンを既定の設定に戻します。, ^
SFC /PURGECACHE,ファイル キャッシュを削除して、今すぐすべての保護されたシステムファイルを実行します。, ^
SFC /CACHESIZE=X,ファイル キャッシュのサイズを設定します。, ^
EXIT [/B] [終了コード],CMD.EXE プログラム (コマンド インタープリタ) またはバッチ スクリプトを終了します。, ^
EXIT /B,CMD.EXE ではなく、現在のバッチ スクリプトを終了するように指定します。バッチ スクリプトの外から実行された場合、CMD.EXE を終了させます。, ^
EXIT /終了コード,終了コード  数値を指定します。/B が指定されている場合、ERRORLEVEL にその数値を設定します。CMD.EXE 終了をする場合、プロセス終了コードにその数値を設定します。, ^
FDISK [/STATUS] /X,MS-DOS で使うためのハードディスクを設定します., ^
FDISK /STATUS,パーティション情報を表示します., ^
FDISK /X,拡張ディスクアクセスサポートを無効にします. ディスクアクセスエラーまたはスタックオーバーフローが表示されたときに使用してください。, ^
